DeviceName,InjectionGroupName,PhaseCode,ConnectedNode2,EquivRDef,EquivXDef,ZeroSequenceR,ZeroSequenceX,VoltageLevelName,SubstationName,AORRefName
SAN ONOFRE NO.1 BANK:INJ,EMS,ABC,en_637003,0.2827044,2.696364,0.6015636,6.366294,220.0kV_EMS,SAN_ONOFRE,All
BULLIS NO.1 BANK:INJ,EMS,ABC,en_251704,0.2827044,2.696364,0.6015636,6.366294,69.0kV_EMS,BULLIS,All
BULLIS NO.3 BANK:INJ,EMS,ABC,en_251005,0.2827044,2.696364,0.6015636,6.366294,69.0kV_EMS,BULLIS,All
BULLIS NO.4 BANK:INJ,EMS,ABC,en_251007,0.2827044,2.696364,0.6015636,6.366294,69.0kV_EMS,BULLIS,All
BULLIS NO.2E BANK:INJ,EMS,ABC,en_251900,0.2827044,2.696364,0.6015636,6.366294,69.0kV_EMS,BULLIS,All
BULLIS NO.2W BANK:INJ,EMS,ABC,en_251901,0.2827044,2.696364,0.6015636,6.366294,69.0kV_EMS,BULLIS,All
COMPTON NO.1 BANK:INJ,EMS,ABC,en_254102,0.2827044,2.696364,0.6015636,6.366294,16.0kV_EMS,COMPTON,All
COMPTON NO.2 BANK:INJ,EMS,ABC,en_254202,0.2827044,2.696364,0.6015636,6.366294,16.0kV_EMS,COMPTON,All
CARSON NO.3 BANK:INJ,EMS,ABC,en_256006,0.2827044,2.696364,0.6015636,6.366294,69.0kV_EMS,CARSON,All
CARSON NO.4N BANK:INJ,EMS,ABC,en_256900,0.2827044,2.696364,0.6015636,6.366294,69.0kV_EMS,CARSON,All
FERNWOOD NO.2 BANK:INJ,EMS,ABC,en_261999,0.2827044,2.696364,0.6015636,6.366294,69.0kV_EMS,FERNWOOD,All
FERNWOOD NO.1 BANK:INJ,EMS,ABC,en_261050,0.2827044,2.696364,0.6015636,6.366294,69.0kV_EMS,FERNWOOD,All
LYNWOOD NO.1 BANK:INJ,EMS,ABC,en_263999,0.2827044,2.696364,0.6015636,6.366294,16.0kV_EMS,LYNWOOD,All
LYNWOOD NO.2 BANK:INJ,EMS,ABC,en_263050,0.2827044,2.696364,0.6015636,6.366294,16.0kV_EMS,LYNWOOD,All
SIGNAL HILL NO.1W BANK:INJ,EMS,ABC,en_280900,0.2827044,2.696364,0.6015636,6.366294,69.0kV_EMS,SIGNAL_HILL,All
SIGNAL HILL NO.2 BANK:INJ,EMS,ABC,en_281010,0.2827044,2.696364,0.6015636,6.366294,12.0kV_EMS,SIGNAL_HILL,All
SUNNYSIDE NO.1 BANK:INJ,EMS,ABC,en_283002,0.2827044,2.696364,0.6015636,6.366294,69.0kV_EMS,SUNNYSIDE,All
SUNNYSIDE NO.3 BANK:INJ,EMS,ABC,en_283006,0.2827044,2.696364,0.6015636,6.366294,69.0kV_EMS,SUNNYSIDE,All
SUNNYSIDE NO.4 BANK:INJ,EMS,ABC,en_283008,0.2827044,2.696364,0.6015636,6.366294,69.0kV_EMS,SUNNYSIDE,All
SUNNYSIDE NO.2E BANK:INJ,EMS,ABC,en_283900,0.2827044,2.696364,0.6015636,6.366294,69.0kV_EMS,SUNNYSIDE,All
ATHENS NO.1 BANK:INJ,EMS,ABC,en_1184051,0.2827044,2.696364,0.6015636,6.366294,16.0kV_EMS,ATHENS,All
PHELAN NO.2W BANK:INJ,EMS,ABC,en_413110,0.2827044,2.696364,0.6015636,6.366294,115.0kV_EMS,PHELAN,All
PHELAN NO.4 BANK:INJ,EMS,ABC,en_413109,0.2827044,2.696364,0.6015636,6.366294,115.0kV_EMS,PHELAN,All
ROADWAY NO.2N BANK:INJ,EMS,ABC,en_417707,0.2827044,2.696364,0.6015636,6.366294,115.0kV_EMS,ROADWAY,All
GARNET NO.2 BANK:INJ,EMS,ABC,en_515115,0.2827044,2.696364,0.6015636,6.366294,115.0kV_EMS,GARNET,All
GARNET NO.3 BANK:INJ,EMS,ABC,en_515058,0.2827044,2.696364,0.6015636,6.366294,115.0kV_EMS,GARNET,All
GARNET NO.4 BANK:INJ,EMS,ABC,en_516108,0.2827044,2.696364,0.6015636,6.366294,33.0kV_EMS,GARNET,All
PEDLEY NO.1 BANK:INJ,EMS,ABC,en_600002,0.2827044,2.696364,0.6015636,6.366294,69.0kV_EMS,PEDLEY,All
PEDLEY NO.2 BANK:INJ,EMS,ABC,en_600001,0.2827044,2.696364,0.6015636,6.366294,69.0kV_EMS,PEDLEY,All
IRVINE NO.1S BANK:INJ,EMS,ABC,en_649093,0.2827044,2.696364,0.6015636,6.366294,69.0kV_EMS,IRVINE,All
ZUMA     MARA BK:INJ,EMS,ABC,en_781100,0.2827044,2.696364,0.6015636,6.366294,16.0kV_EMS,ZUMA,All
ZUMA     ENCN BK:INJ,EMS,ABC,en_781101,0.2827044,2.696364,0.6015636,6.366294,16.0kV_EMS,ZUMA,All
ZUMA     BRDV BK:INJ,EMS,ABC,en_781102,0.2827044,2.696364,0.6015636,6.366294,16.0kV_EMS,ZUMA,All
TAPIA NO.1N BANK:INJ,EMS,ABC,en_789106,0.2827044,2.696364,0.6015636,6.366294,69.0kV_EMS,TAPIA,All
TAPIA NO.1S BANK:INJ,EMS,ABC,en_789107,0.2827044,2.696364,0.6015636,6.366294,69.0kV_EMS,TAPIA,All
PEPPER NO.3W BANK:INJ,EMS,ABC,en_675711,0.2827044,2.696364,0.6015636,6.366294,115.0kV_EMS,PEPPER,All
CALECTRIC NO.1W BANK:INJ,EMS,ABC,en_669350,0.2827044,2.696364,0.6015636,6.366294,115.0kV_EMS,CALECTRIC,All
CALECTRIC NO.1E BANK:INJ,EMS,ABC,en_669351,0.2827044,2.696364,0.6015636,6.366294,115.0kV_EMS,CALECTRIC,All
MOULTON NO.1E BANK:INJ,EMS,ABC,en_653201,0.2827044,2.696364,0.6015636,6.366294,69.0kV_EMS,MOULTON,All
MOULTON NO.1W BANK:INJ,EMS,ABC,en_653202,0.2827044,2.696364,0.6015636,6.366294,69.0kV_EMS,MOULTON,All
MOULTON NO.2E BANK:INJ,EMS,ABC,en_653401,0.2827044,2.696364,0.6015636,6.366294,69.0kV_EMS,MOULTON,All
MOULTON NO.2W BANK:INJ,EMS,ABC,en_653402,0.2827044,2.696364,0.6015636,6.366294,69.0kV_EMS,MOULTON,All
VALDEZ NO.2N BANK:INJ,EMS,ABC,en_793111,0.2827044,2.696364,0.6015636,6.366294,69.0kV_EMS,VALDEZ,All
VALDEZ NO.4N BANK:INJ,EMS,ABC,en_793110,0.2827044,2.696364,0.6015636,6.366294,69.0kV_EMS,VALDEZ,All
PHELAN NO.2E BANK:INJ,EMS,ABC,en_413111,0.2827044,2.696364,0.6015636,6.366294,115.0kV_EMS,PHELAN,All
BAIN NO.1 BANK:INJ,EMS,ABC,en_619110,0.2827044,2.696364,0.6015636,6.366294,69.0kV_EMS,BAIN,All
BAIN NO.2 BANK:INJ,EMS,ABC,en_619111,0.2827044,2.696364,0.6015636,6.366294,69.0kV_EMS,BAIN,All
SAN ONOFRE NO.2 BANK:INJ,EMS,ABC,en_637006,0.2827044,2.696364,0.6015636,6.366294,220.0kV_EMS,SAN_ONOFRE,All
LAS LOMAS NO.1S BANK:INJ,EMS,ABC,en_1270128,0.2827044,2.696364,0.6015636,6.366294,69.0kV_EMS,LAS_LOMAS,All
NUGGET NO.1E BANK:INJ,EMS,ABC,en_2045201,0.2827044,2.696364,0.6015636,6.366294,33.0kV_EMS,NUGGET,All
NUGGET NO.1W BANK:INJ,EMS,ABC,en_2045202,0.2827044,2.696364,0.6015636,6.366294,33.0kV_EMS,NUGGET,All
VALDEZ NO.2S BANK:INJ,EMS,ABC,en_793109,0.2827044,2.696364,0.6015636,6.366294,69.0kV_EMS,VALDEZ,All
VALDEZ NO.4S BANK:INJ,EMS,ABC,en_793112,0.2827044,2.696364,0.6015636,6.366294,69.0kV_EMS,VALDEZ,All
CORONA NO.1 BANK:INJ,EMS,ABC,en_587001,0.2827044,2.696364,0.6015636,6.366294,69.0kV_EMS,CORONA,All
CORONA NO.2 BANK:INJ,EMS,ABC,en_587002,0.2827044,2.696364,0.6015636,6.366294,69.0kV_EMS,CORONA,All
CORONA NO.5 BANK:INJ,EMS,ABC,en_587604,0.2827044,2.696364,0.6015636,6.366294,69.0kV_EMS,CORONA,All
CORONA NO.6S BANK:INJ,EMS,ABC,en_587607,0.2827044,2.696364,0.6015636,6.366294,69.0kV_EMS,CORONA,All
CORONA NO.6N BANK:INJ,EMS,ABC,en_587667,0.2827044,2.696364,0.6015636,6.366294,69.0kV_EMS,CORONA,All
CORONA NO.7S BANK:INJ,EMS,ABC,en_587609,0.2827044,2.696364,0.6015636,6.366294,69.0kV_EMS,CORONA,All
CORONA NO.7N BANK:INJ,EMS,ABC,en_587669,0.2827044,2.696364,0.6015636,6.366294,69.0kV_EMS,CORONA,All
CORONA NO.3 BANK:INJ,EMS,ABC,en_1529006,0.2827044,2.696364,0.6015636,6.366294,33.0kV_EMS,CORONA,All
SANTIAGO NO.5E BANK:INJ,EMS,ABC,en_640601,0.2827044,2.696364,0.6015636,6.366294,69.0kV_EMS,SANTIAGO,All
SANTIAGO NO.5W BANK:INJ,EMS,ABC,en_640661,0.2827044,2.696364,0.6015636,6.366294,69.0kV_EMS,SANTIAGO,All
SANTIAGO NO.7E BANK:INJ,EMS,ABC,en_640249,0.2827044,2.696364,0.6015636,6.366294,69.0kV_EMS,SANTIAGO,All
SANTIAGO NO.8W BANK:INJ,EMS,ABC,en_640605,0.2827044,2.696364,0.6015636,6.366294,69.0kV_EMS,SANTIAGO,All
SANTIAGO NO.8E BANK:INJ,EMS,ABC,en_640665,0.2827044,2.696364,0.6015636,6.366294,69.0kV_EMS,SANTIAGO,All
COFFEE NO.1S BANK:INJ,EMS,ABC,en_1881101,0.2827044,2.696364,0.6015636,6.366294,33.0kV_EMS,COFFEE,All
ARROWHEAD NO.3 BANK:INJ,EMS,ABC,en_668005,0.2827044,2.696364,0.6015636,6.366294,115.0kV_EMS,ARROWHEAD,All
ARROWHEAD NO.4 BANK:INJ,EMS,ABC,en_668008,0.2827044,2.696364,0.6015636,6.366294,115.0kV_EMS,ARROWHEAD,All
ARROWHEAD NO.1 BANK:INJ,EMS,ABC,en_1540003,0.2827044,2.696364,0.6015636,6.366294,33.0kV_EMS,ARROWHEAD,All
COFFEE NO.1N BANK:INJ,EMS,ABC,en_1881102,0.2827044,2.696364,0.6015636,6.366294,33.0kV_EMS,COFFEE,All
CALECTRIC NO.2W BANK:INJ,EMS,ABC,en_669150,0.2827044,2.696364,0.6015636,6.366294,115.0kV_EMS,CALECTRIC,All
CALECTRIC NO.2E BANK:INJ,EMS,ABC,en_669151,0.2827044,2.696364,0.6015636,6.366294,115.0kV_EMS,CALECTRIC,All
LATIGO NO.1 BANK:INJ,EMS,ABC,en_799001,0.2827044,2.696364,0.6015636,6.366294,69.0kV_EMS,LATIGO,All
LATIGO NO.2 BANK:INJ,EMS,ABC,en_799004,0.2827044,2.696364,0.6015636,6.366294,69.0kV_EMS,LATIGO,All
SANTIAGO NO.7W BANK:INJ,EMS,ABC,en_640250,0.2827044,2.696364,0.6015636,6.366294,69.0kV_EMS,SANTIAGO,All
COFFEE NO.2S BANK:INJ,EMS,ABC,en_1881103,0.2827044,2.696364,0.6015636,6.366294,33.0kV_EMS,COFFEE,All
COFFEE NO.2N BANK:INJ,EMS,ABC,en_1881104,0.2827044,2.696364,0.6015636,6.366294,33.0kV_EMS,COFFEE,All
ARCHIBALD NO.2E BANK:INJ,EMS,ABC,en_582119,0.2827044,2.696364,0.6015636,6.366294,69.0kV_EMS,ARCHIBALD,All
ARCHIBALD NO.1S BANK:INJ,EMS,ABC,en_582090,0.2827044,2.696364,0.6015636,6.366294,69.0kV_EMS,ARCHIBALD,All
ARCHIBALD NO.1N BANK:INJ,EMS,ABC,en_582113,0.2827044,2.696364,0.6015636,6.366294,69.0kV_EMS,ARCHIBALD,All
BLOOMINGTON NO.2N BANK:INJ,EMS,ABC,en_683701,0.2827044,2.696364,0.6015636,6.366294,69.0kV_EMS,BLOOMINGTON,All
BLOOMINGTON NO.2S BANK:INJ,EMS,ABC,en_683702,0.2827044,2.696364,0.6015636,6.366294,69.0kV_EMS,BLOOMINGTON,All
BLOOMINGTON NO.4N BANK:INJ,EMS,ABC,en_683704,0.2827044,2.696364,0.6015636,6.366294,69.0kV_EMS,BLOOMINGTON,All
BLOOMINGTON NO.4S BANK:INJ,EMS,ABC,en_683705,0.2827044,2.696364,0.6015636,6.366294,69.0kV_EMS,BLOOMINGTON,All
FARRELL NO.1N BANK:INJ,EMS,ABC,en_513112,0.2827044,2.696364,0.6015636,6.366294,115.0kV_EMS,FARRELL,All
FARRELL NO.1S BANK:INJ,EMS,ABC,en_513702,0.2827044,2.696364,0.6015636,6.366294,115.0kV_EMS,FARRELL,All
FARRELL NO.2N BANK:INJ,EMS,ABC,en_513113,0.2827044,2.696364,0.6015636,6.366294,115.0kV_EMS,FARRELL,All
FARRELL NO.2S BANK:INJ,EMS,ABC,en_513705,0.2827044,2.696364,0.6015636,6.366294,115.0kV_EMS,FARRELL,All
HUSTON NO.1E BANK:INJ,EMS,ABC,en_3019701,0.2827044,2.696364,0.6015636,6.366294,33.0kV_EMS,HUSTON,All
HUSTON NO.1W BANK:INJ,EMS,ABC,en_3019702,0.2827044,2.696364,0.6015636,6.366294,33.0kV_EMS,HUSTON,All
RUNNING SPRINGS NO.1N BANK:INJ,EMS,ABC,en_3022701,0.2827044,2.696364,0.6015636,6.366294,33.0kV_EMS,RUNNING_SPRINGS,All
RUNNING SPRINGS NO.1S BANK:INJ,EMS,ABC,en_3022702,0.2827044,2.696364,0.6015636,6.366294,33.0kV_EMS,RUNNING_SPRINGS,All
OAK PARK NO.1W BANK:INJ,EMS,ABC,en_785900,0.2827044,2.696364,0.6015636,6.366294,69.0kV_EMS,OAK_PARK,All
OAK PARK NO.2W BANK:INJ,EMS,ABC,en_785105,0.2827044,2.696364,0.6015636,6.366294,69.0kV_EMS,OAK_PARK,All
OAK PARK NO.2E BANK:INJ,EMS,ABC,en_785108,0.2827044,2.696364,0.6015636,6.366294,69.0kV_EMS,OAK_PARK,All
NEWBURY NO.1N BANK:INJ,EMS,ABC,en_803701,0.2827044,2.696364,0.6015636,6.366294,69.0kV_EMS,NEWBURY,All
NEWBURY NO.1S BANK:INJ,EMS,ABC,en_803702,0.2827044,2.696364,0.6015636,6.366294,69.0kV_EMS,NEWBURY,All
NEWBURY NO.2N BANK:INJ,EMS,ABC,en_803704,0.2827044,2.696364,0.6015636,6.366294,69.0kV_EMS,NEWBURY,All
NEWBURY NO.2S BANK:INJ,EMS,ABC,en_803705,0.2827044,2.696364,0.6015636,6.366294,69.0kV_EMS,NEWBURY,All
ROYAL NO.1W BANK:INJ,EMS,ABC,en_783113,0.2827044,2.696364,0.6015636,6.366294,69.0kV_EMS,ROYAL,All
ROYAL NO.1E BANK:INJ,EMS,ABC,en_783702,0.2827044,2.696364,0.6015636,6.366294,69.0kV_EMS,ROYAL,All
ROYAL NO.2W BANK:INJ,EMS,ABC,en_783115,0.2827044,2.696364,0.6015636,6.366294,69.0kV_EMS,ROYAL,All
ROYAL NO.2E BANK:INJ,EMS,ABC,en_783705,0.2827044,2.696364,0.6015636,6.366294,69.0kV_EMS,ROYAL,All
SAVAGE NO.1W BANK:INJ,EMS,ABC,en_418701,0.2827044,2.696364,0.6015636,6.366294,115.0kV_EMS,SAVAGE,All
SAVAGE NO.1E BANK:INJ,EMS,ABC,en_418702,0.2827044,2.696364,0.6015636,6.366294,115.0kV_EMS,SAVAGE,All
SAVAGE NO.2W BANK:INJ,EMS,ABC,en_418704,0.2827044,2.696364,0.6015636,6.366294,115.0kV_EMS,SAVAGE,All
SAVAGE NO.2E BANK:INJ,EMS,ABC,en_418705,0.2827044,2.696364,0.6015636,6.366294,115.0kV_EMS,SAVAGE,All
THOUSAND OAKS NO.1N BANK:INJ,EMS,ABC,en_801116,0.2827044,2.696364,0.6015636,6.366294,69.0kV_EMS,THOUSAND_OAKS,All
THOUSAND OAKS NO.1S BANK:INJ,EMS,ABC,en_801316,0.2827044,2.696364,0.6015636,6.366294,69.0kV_EMS,THOUSAND_OAKS,All
THOUSAND OAKS NO.2N BANK:INJ,EMS,ABC,en_801119,0.2827044,2.696364,0.6015636,6.366294,69.0kV_EMS,THOUSAND_OAKS,All
THOUSAND OAKS NO.2S BANK:INJ,EMS,ABC,en_801319,0.2827044,2.696364,0.6015636,6.366294,69.0kV_EMS,THOUSAND_OAKS,All
