ShuntTypeName,MaximumCount,PhaseASusceptance,PhaseBSusceptance,PhaseCSusceptance,ReactanceType,VoltageLevelName
4.0KV_1200,1,0.075,0.075,0.075,C,4.0kV_EMS
4.0KV_1200,1,0.075,0.075,0.075,C,4.0kV_EMS
16.0KV_3150,1,0.012304688,0.012304688,0.012304688,C,16.0kV_EMS
16.0KV_6300,1,0.024609375,0.024609375,0.024609375,C,16.0kV_EMS
16.0KV_6000,1,0.0234375,0.0234375,0.0234375,C,16.0kV_EMS
4.0KV_2100,1,0.13125,0.13125,0.13125,C,4.0kV_EMS
4.0KV_2100,1,0.13125,0.13125,0.13125,C,4.0kV_EMS
12.0KV_4800,1,0.033333333,0.033333333,0.033333333,C,12.0kV_EMS
12.0KV_3000,1,0.020833333,0.020833333,0.020833333,C,12.0kV_EMS
12.0KV_6000,1,0.041666667,0.041666667,0.041666667,C,12.0kV_EMS
4.0KV_1650,1,0.103125,0.103125,0.103125,C,4.0kV_EMS
4.0KV_2250,1,0.140625,0.140625,0.140625,C,4.0kV_EMS
12.0KV_4800,1,0.033333333,0.033333333,0.033333333,C,12.0kV_EMS
12.0KV_4800,1,0.033333333,0.033333333,0.033333333,C,12.0kV_EMS
33.0KV_4800,1,0.004407713,0.004407713,0.004407713,C,33.0kV_EMS
16.0KV_3000,1,0.01171875,0.01171875,0.01171875,C,16.0kV_EMS
16.0KV_4800,1,0.01875,0.01875,0.01875,C,16.0kV_EMS
12.0KV_7200,1,0.05,0.05,0.05,C,12.0kV_EMS
4.0KV_1530,1,0.095625,0.095625,0.095625,C,4.0kV_EMS
16.0KV_6000,1,0.0234375,0.0234375,0.0234375,C,16.0kV_EMS
16.0KV_3000,1,0.01171875,0.01171875,0.01171875,C,16.0kV_EMS
12.0KV_4800,1,0.033333333,0.033333333,0.033333333,C,12.0kV_EMS
16.0KV_4500,1,0.017578125,0.017578125,0.017578125,C,16.0kV_EMS
16.0KV_3600,1,0.0140625,0.0140625,0.0140625,C,16.0kV_EMS
12.0KV_4800,1,0.033333333,0.033333333,0.033333333,C,12.0kV_EMS
16.0KV_4800,1,0.01875,0.01875,0.01875,C,16.0kV_EMS
33.0KV_10200,1,0.009366391,0.009366391,0.009366391,C,33.0kV_EMS
33.0KV_10200,1,0.009366391,0.009366391,0.009366391,C,33.0kV_EMS
33.0KV_4800,1,0.004407713,0.004407713,0.004407713,C,33.0kV_EMS
33.0KV_10200,1,0.009366391,0.009366391,0.009366391,C,33.0kV_EMS
33.0KV_10200,1,0.009366391,0.009366391,0.009366391,C,33.0kV_EMS
12.0KV_4800,1,0.033333333,0.033333333,0.033333333,C,12.0kV_EMS
12.0KV_4800,1,0.033333333,0.033333333,0.033333333,C,12.0kV_EMS
33.0KV_10200,1,0.009366391,0.009366391,0.009366391,C,33.0kV_EMS
33.0KV_10200,1,0.009366391,0.009366391,0.009366391,C,33.0kV_EMS
16.0KV_6000,1,0.0234375,0.0234375,0.0234375,C,16.0kV_EMS
16.0KV_6000,1,0.0234375,0.0234375,0.0234375,C,16.0kV_EMS
16.0KV_4800,1,0.01875,0.01875,0.01875,C,16.0kV_EMS
16.0KV_4800,1,0.01875,0.01875,0.01875,C,16.0kV_EMS
16.0KV_4800,1,0.01875,0.01875,0.01875,C,16.0kV_EMS
16.0KV_3600,1,0.0140625,0.0140625,0.0140625,C,16.0kV_EMS
12.0KV_6300,1,0.04375,0.04375,0.04375,C,12.0kV_EMS
33.0KV_6800,1,0.006244261,0.006244261,0.006244261,C,33.0kV_EMS
33.0KV_6800,1,0.006244261,0.006244261,0.006244261,C,33.0kV_EMS
12.0KV_4800,1,0.033333333,0.033333333,0.033333333,C,12.0kV_EMS
12.0KV_4800,1,0.033333333,0.033333333,0.033333333,C,12.0kV_EMS
12.0KV_4800,1,0.033333333,0.033333333,0.033333333,C,12.0kV_EMS
12.0KV_4800,1,0.033333333,0.033333333,0.033333333,C,12.0kV_EMS
12.0KV_6000,1,0.041666667,0.041666667,0.041666667,C,12.0kV_EMS
12.0KV_7200,1,0.05,0.05,0.05,C,12.0kV_EMS
12.0KV_7200,1,0.05,0.05,0.05,C,12.0kV_EMS
12.0KV_4800,1,0.033333333,0.033333333,0.033333333,C,12.0kV_EMS
33.0KV_10200,1,0.009366391,0.009366391,0.009366391,C,33.0kV_EMS
33.0KV_10200,1,0.009366391,0.009366391,0.009366391,C,33.0kV_EMS
12.0KV_6000,1,0.041666667,0.041666667,0.041666667,C,12.0kV_EMS
12.0KV_4800,1,0.033333333,0.033333333,0.033333333,C,12.0kV_EMS
12.0KV_4800,1,0.033333333,0.033333333,0.033333333,C,12.0kV_EMS
12.0KV_4800,1,0.033333333,0.033333333,0.033333333,C,12.0kV_EMS
12.0KV_4800,1,0.033333333,0.033333333,0.033333333,C,12.0kV_EMS
12.0KV_4800,1,0.033333333,0.033333333,0.033333333,C,12.0kV_EMS
12.0KV_4800,1,0.033333333,0.033333333,0.033333333,C,12.0kV_EMS
12.0KV_4800,1,0.033333333,0.033333333,0.033333333,C,12.0kV_EMS
16.0KV_2400,1,0.009375,0.009375,0.009375,C,16.0kV_EMS
16.0KV_2400,1,0.009375,0.009375,0.009375,C,16.0kV_EMS
12.0KV_4800,1,0.033333333,0.033333333,0.033333333,C,12.0kV_EMS
12.0KV_4800,1,0.033333333,0.033333333,0.033333333,C,12.0kV_EMS
12.0KV_4800,1,0.033333333,0.033333333,0.033333333,C,12.0kV_EMS
12.0KV_6048,1,0.042,0.042,0.042,C,12.0kV_EMS
12.0KV_4800,1,0.033333333,0.033333333,0.033333333,C,12.0kV_EMS
12.0KV_4800,1,0.033333333,0.033333333,0.033333333,C,12.0kV_EMS
12.0KV_4800,1,0.033333333,0.033333333,0.033333333,C,12.0kV_EMS
12.0KV_6000,1,0.041666667,0.041666667,0.041666667,C,12.0kV_EMS
33.0KV_6000,1,0.005509642,0.005509642,0.005509642,C,33.0kV_EMS
12.0KV_4800,1,0.033333333,0.033333333,0.033333333,C,12.0kV_EMS
12.0KV_6000,1,0.041666667,0.041666667,0.041666667,C,12.0kV_EMS
12.0KV_6000,1,0.041666667,0.041666667,0.041666667,C,12.0kV_EMS
12.0KV_6000,1,0.041666667,0.041666667,0.041666667,C,12.0kV_EMS
12.0KV_4800,1,0.033333333,0.033333333,0.033333333,C,12.0kV_EMS
12.0KV_4800,1,0.033333333,0.033333333,0.033333333,C,12.0kV_EMS
12.0KV_4800,1,0.033333333,0.033333333,0.033333333,C,12.0kV_EMS
12.0KV_4800,1,0.033333333,0.033333333,0.033333333,C,12.0kV_EMS
16.0KV_3000,1,0.01171875,0.01171875,0.01171875,C,16.0kV_EMS
16.0KV_3000,1,0.01171875,0.01171875,0.01171875,C,16.0kV_EMS
16.0KV_4500,1,0.017578125,0.017578125,0.017578125,C,16.0kV_EMS
16.0KV_3150,1,0.012304688,0.012304688,0.012304688,C,16.0kV_EMS
16.0KV_3000,1,0.01171875,0.01171875,0.01171875,C,16.0kV_EMS
16.0KV_3000,1,0.01171875,0.01171875,0.01171875,C,16.0kV_EMS
12.0KV_4950,1,0.034375,0.034375,0.034375,C,12.0kV_EMS
12.0KV_4800,1,0.033333333,0.033333333,0.033333333,C,12.0kV_EMS
33.0KV_10200,1,0.009366391,0.009366391,0.009366391,C,33.0kV_EMS
33.0KV_10200,1,0.009366391,0.009366391,0.009366391,C,33.0kV_EMS
12.0KV_6000,1,0.041666667,0.041666667,0.041666667,C,12.0kV_EMS
12.0KV_4800,1,0.033333333,0.033333333,0.033333333,C,12.0kV_EMS
12.0KV_4500,1,0.03125,0.03125,0.03125,C,12.0kV_EMS
12.0KV_4800,1,0.033333333,0.033333333,0.033333333,C,12.0kV_EMS
12.0KV_4800,1,0.033333333,0.033333333,0.033333333,C,12.0kV_EMS
12.0KV_4800,1,0.033333333,0.033333333,0.033333333,C,12.0kV_EMS
12.0KV_3600,1,0.025,0.025,0.025,C,12.0kV_EMS
12.0KV_4800,1,0.033333333,0.033333333,0.033333333,C,12.0kV_EMS
12.0KV_4800,1,0.033333333,0.033333333,0.033333333,C,12.0kV_EMS
12.0KV_4800,1,0.033333333,0.033333333,0.033333333,C,12.0kV_EMS
12.0KV_1500,1,0.010416667,0.010416667,0.010416667,C,12.0kV_EMS
33.0KV_3600,1,0.003305785,0.003305785,0.003305785,C,33.0kV_EMS
16.0KV_4800,1,0.01875,0.01875,0.01875,C,16.0kV_EMS
16.0KV_4800,1,0.01875,0.01875,0.01875,C,16.0kV_EMS
16.0KV_4800,1,0.01875,0.01875,0.01875,C,16.0kV_EMS
16.0KV_4800,1,0.01875,0.01875,0.01875,C,16.0kV_EMS
16.0KV_4800,1,0.01875,0.01875,0.01875,C,16.0kV_EMS
16.0KV_3600,1,0.0140625,0.0140625,0.0140625,C,16.0kV_EMS
16.0KV_4800,1,0.01875,0.01875,0.01875,C,16.0kV_EMS
16.0KV_4800,1,0.01875,0.01875,0.01875,C,16.0kV_EMS
16.0KV_4800,1,0.01875,0.01875,0.01875,C,16.0kV_EMS
12.0KV_4800,1,0.033333333,0.033333333,0.033333333,C,12.0kV_EMS
12.0KV_4800,1,0.033333333,0.033333333,0.033333333,C,12.0kV_EMS
12.0KV_4800,1,0.033333333,0.033333333,0.033333333,C,12.0kV_EMS
12.0KV_4800,1,0.033333333,0.033333333,0.033333333,C,12.0kV_EMS
16.0KV_4800,1,0.01875,0.01875,0.01875,C,16.0kV_EMS
16.0KV_4800,1,0.01875,0.01875,0.01875,C,16.0kV_EMS
16.0KV_4800,1,0.01875,0.01875,0.01875,C,16.0kV_EMS
16.0KV_4800,1,0.01875,0.01875,0.01875,C,16.0kV_EMS
12.0KV_2625,1,0.018229167,0.018229167,0.018229167,C,12.0kV_EMS
12.0KV_3000,1,0.020833333,0.020833333,0.020833333,C,12.0kV_EMS
4.0KV_2100,1,0.13125,0.13125,0.13125,C,4.0kV_EMS
12.0KV_4800,1,0.033333333,0.033333333,0.033333333,C,12.0kV_EMS
12.0KV_6000,1,0.041666667,0.041666667,0.041666667,C,12.0kV_EMS
16.0KV_6000,1,0.0234375,0.0234375,0.0234375,C,16.0kV_EMS
16.0KV_6000,1,0.0234375,0.0234375,0.0234375,C,16.0kV_EMS
16.0KV_6000,1,0.0234375,0.0234375,0.0234375,C,16.0kV_EMS
12.0KV_4800,1,0.033333333,0.033333333,0.033333333,C,12.0kV_EMS
12.0KV_4800,1,0.033333333,0.033333333,0.033333333,C,12.0kV_EMS
12.0KV_4800,1,0.033333333,0.033333333,0.033333333,C,12.0kV_EMS
12.0KV_4800,1,0.033333333,0.033333333,0.033333333,C,12.0kV_EMS
12.0KV_4800,1,0.033333333,0.033333333,0.033333333,C,12.0kV_EMS
12.0KV_4800,1,0.033333333,0.033333333,0.033333333,C,12.0kV_EMS
12.0KV_4800,1,0.033333333,0.033333333,0.033333333,C,12.0kV_EMS
12.0KV_2700,1,0.01875,0.01875,0.01875,C,12.0kV_EMS
12.0KV_6000,1,0.041666667,0.041666667,0.041666667,C,12.0kV_EMS
12.0KV_6000,1,0.041666667,0.041666667,0.041666667,C,12.0kV_EMS
12.0KV_4800,1,0.033333333,0.033333333,0.033333333,C,12.0kV_EMS
12.0KV_4800,1,0.033333333,0.033333333,0.033333333,C,12.0kV_EMS
12.0KV_4900,1,0.034027778,0.034027778,0.034027778,C,12.0kV_EMS
16.0KV_6000,1,0.0234375,0.0234375,0.0234375,C,16.0kV_EMS
16.0KV_4800,1,0.01875,0.01875,0.01875,C,16.0kV_EMS
16.0KV_4800,1,0.01875,0.01875,0.01875,C,16.0kV_EMS
33.0KV_10200,1,0.009366391,0.009366391,0.009366391,C,33.0kV_EMS
33.0KV_10200,1,0.009366391,0.009366391,0.009366391,C,33.0kV_EMS
12.0KV_6000,1,0.041666667,0.041666667,0.041666667,C,12.0kV_EMS
12.0KV_4800,1,0.033333333,0.033333333,0.033333333,C,12.0kV_EMS
12.0KV_4800,1,0.033333333,0.033333333,0.033333333,C,12.0kV_EMS
12.0KV_6000,1,0.041666667,0.041666667,0.041666667,C,12.0kV_EMS
12.0KV_4800,1,0.033333333,0.033333333,0.033333333,C,12.0kV_EMS
12.0KV_4800,1,0.033333333,0.033333333,0.033333333,C,12.0kV_EMS
12.0KV_6000,1,0.041666667,0.041666667,0.041666667,C,12.0kV_EMS
12.0KV_4800,1,0.033333333,0.033333333,0.033333333,C,12.0kV_EMS
12.0KV_4800,1,0.033333333,0.033333333,0.033333333,C,12.0kV_EMS
12.0KV_4800,1,0.033333333,0.033333333,0.033333333,C,12.0kV_EMS
12.0KV_3000,1,0.020833333,0.020833333,0.020833333,C,12.0kV_EMS
12.0KV_6000,1,0.041666667,0.041666667,0.041666667,C,12.0kV_EMS
16.0KV_6000,1,0.0234375,0.0234375,0.0234375,C,16.0kV_EMS
16.0KV_3000,1,0.01171875,0.01171875,0.01171875,C,16.0kV_EMS
4.0KV_1500,1,0.09375,0.09375,0.09375,C,4.0kV_EMS
12.0KV_4800,1,0.033333333,0.033333333,0.033333333,C,12.0kV_EMS
12.0KV_4800,1,0.033333333,0.033333333,0.033333333,C,12.0kV_EMS
12.0KV_4800,1,0.033333333,0.033333333,0.033333333,C,12.0kV_EMS
12.0KV_6000,1,0.041666667,0.041666667,0.041666667,C,12.0kV_EMS
12.0KV_4800,1,0.033333333,0.033333333,0.033333333,C,12.0kV_EMS
12.0KV_4800,1,0.033333333,0.033333333,0.033333333,C,12.0kV_EMS
33.0KV_4800,1,0.004407713,0.004407713,0.004407713,C,33.0kV_EMS
33.0KV_4800,1,0.004407713,0.004407713,0.004407713,C,33.0kV_EMS
12.0KV_4800,1,0.033333333,0.033333333,0.033333333,C,12.0kV_EMS
12.0KV_4800,1,0.033333333,0.033333333,0.033333333,C,12.0kV_EMS
